,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,label
997,3,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,b
998,3,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,b
999,2,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,b
1000,1,0.465,0.38,0.135,0.579,0.20800000000000002,0.1095,0.22,b
1001,2,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,b
1002,2,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,b
1003,1,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,b
1004,3,0.275,0.205,0.08,0.096,0.036000000000000004,0.0185,0.03,b
1005,3,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027000000000000003,b
1006,3,0.235,0.17,0.065,0.0625,0.023,0.013999999999999999,0.022000000000000002,b
1007,3,0.25,0.18,0.06,0.073,0.027999999999999997,0.017,0.0225,b
1008,3,0.25,0.185,0.065,0.071,0.027000000000000003,0.0185,0.0225,b
1009,2,0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,b
1010,1,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,b
1011,2,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,b
1012,2,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,b
1013,1,0.615,0.47,0.175,1.2985,0.5135,0.34299999999999997,0.32,b
1014,2,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,b
1015,1,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,b
1016,2,0.57,0.42,0.155,1.008,0.377,0.193,0.34,b
1017,1,0.5,0.44,0.155,0.742,0.2025,0.2005,0.2115,b
1018,1,0.52,0.425,0.145,0.7,0.207,0.1905,0.24,b
1019,2,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,b
1020,1,0.54,0.415,0.175,0.8975,0.275,0.24100000000000002,0.275,b
1021,2,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,b
1022,1,0.49,0.4,0.145,0.6635,0.21,0.1295,0.2515,b
1023,2,0.5,0.385,0.145,0.7615,0.24600000000000002,0.195,0.204,b
1024,2,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835,b
1025,2,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,b
1026,1,0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,b
1027,2,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,b
1028,2,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,b
1029,1,0.48,0.39,0.125,0.6905,0.21899999999999997,0.155,0.2,b
1030,3,0.285,0.21,0.07,0.109,0.044000000000000004,0.0265,0.033,b
1031,3,0.3,0.23,0.075,0.127,0.052000000000000005,0.03,0.0345,b
1032,3,0.31,0.24,0.105,0.2885,0.11800000000000001,0.065,0.083,b
1033,3,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,b
1034,3,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,b
1035,3,0.415,0.315,0.09,0.3625,0.175,0.0835,0.09300000000000001,b
1036,3,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,b
1037,2,0.64,0.585,0.195,1.6469999999999998,0.7225,0.331,0.47100000000000003,b
1038,1,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,b
1039,2,0.66,0.535,0.2,1.791,0.733,0.318,0.54,b
1040,1,0.675,0.555,0.205,1.925,0.713,0.358,0.4535,b
1041,1,0.675,0.55,0.175,1.689,0.6940000000000001,0.371,0.474,b
1042,1,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095,b
1043,3,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,b
1044,3,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,b
1045,3,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,b
1046,3,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,b
1047,3,0.31,0.225,0.075,0.155,0.065,0.037000000000000005,0.0365,b
1048,3,0.37,0.29,0.08,0.2545,0.10800000000000001,0.0565,0.07,b
1049,3,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,b
1050,3,0.405,0.31,0.065,0.3205,0.1575,0.066,0.08800000000000001,b
1051,3,0.44,0.345,0.115,0.545,0.26899999999999996,0.111,0.1305,b
1052,3,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,b
1053,3,0.45,0.35,0.125,0.4775,0.2235,0.08900000000000001,0.11800000000000001,b
1054,1,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,b
1055,3,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,b
1056,1,0.53,0.42,0.17,0.828,0.41,0.20800000000000002,0.1505,b
1057,2,0.53,0.41,0.14,0.6809999999999999,0.3095,0.1415,0.1835,b
1058,2,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,b
1059,1,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,b
1060,2,0.695,0.525,0.175,1.742,0.696,0.389,0.505,b
1061,1,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,b
1062,2,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,b
1063,3,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,b
1064,3,0.29,0.21,0.06,0.1045,0.0415,0.022000000000000002,0.035,b
1065,3,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,b
1066,3,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,b
1067,3,0.375,0.29,0.1,0.21899999999999997,0.0925,0.038,0.075,b
1068,3,0.425,0.33,0.115,0.3265,0.1315,0.077,0.10300000000000001,b
1069,3,0.46,0.37,0.12,0.5335,0.2645,0.10800000000000001,0.1345,b
1070,2,0.67,0.51,0.18,1.68,0.9259999999999999,0.2975,0.3935,b
1071,1,0.675,0.55,0.19,1.551,0.7105,0.3685,0.41200000000000003,b
1072,2,0.7,0.55,0.2,1.5230000000000001,0.693,0.306,0.4405,b
1073,1,0.74,0.575,0.22,2.012,0.8915,0.5265,0.47100000000000003,b
1074,3,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,b
1075,3,0.335,0.25,0.08,0.16699999999999998,0.0675,0.0325,0.0575,b
1076,3,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,b
1077,3,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,b
1078,3,0.36,0.26,0.08,0.1795,0.07400000000000001,0.0315,0.06,b
1079,3,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,b
1080,2,0.63,0.505,0.175,1.2209999999999999,0.555,0.252,0.34,b
1081,2,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,b
1082,2,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,b
1083,2,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,b
1084,3,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,b
1085,3,0.325,0.24,0.075,0.1525,0.07200000000000001,0.0645,0.043,b
1086,3,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,b
1087,3,0.375,0.285,0.09,0.2545,0.11900000000000001,0.0595,0.0675,b
1088,1,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,b
1089,1,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,b
1090,3,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,b
1091,3,0.32,0.205,0.08,0.18100000000000002,0.08800000000000001,0.034,0.0495,b
1092,3,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,b
1093,3,0.37,0.28,0.085,0.198,0.0805,0.0455,0.057999999999999996,b
1094,3,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,b
1095,1,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,b
1096,1,0.61,0.47,0.195,1.2735,0.469,0.3315,0.39799999999999996,b
1097,1,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,b
1098,2,0.645,0.495,0.19,1.5390000000000001,0.6115,0.408,0.445,b
1099,2,0.65,0.52,0.195,1.676,0.693,0.44,0.47,b
1100,1,0.65,0.565,0.2,1.6645,0.753,0.36700000000000005,0.43,b
1101,1,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,b
1102,1,0.66,0.525,0.16,1.2770000000000001,0.4975,0.319,0.39399999999999996,b
1103,1,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,b
1104,1,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,b
1105,2,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,b
1106,2,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,b
1107,2,0.735,0.59,0.205,2.0869999999999997,0.909,0.474,0.625,b
1108,2,0.745,0.575,0.2,1.8840000000000001,0.9540000000000001,0.336,0.495,b
1109,3,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,b
1110,3,0.43,0.33,0.1,0.449,0.254,0.0825,0.09699999999999999,b
1111,2,0.535,0.405,0.175,1.2705,0.5479999999999999,0.3265,0.337,b
1112,2,0.68,0.54,0.21,1.7885,0.8345,0.408,0.43700000000000006,b
1113,2,0.73,0.585,0.225,2.2305,1.2395,0.42200000000000004,0.563,b
1114,1,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,b
1115,3,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,b
1116,3,0.395,0.3,0.09,0.253,0.1155,0.05,0.075,b
1117,3,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,b
1118,2,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,b
1119,2,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,b
1120,2,0.615,0.49,0.17,1.145,0.4915,0.20800000000000002,0.34299999999999997,b
1121,2,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,b
1122,2,0.71,0.56,0.175,1.724,0.5660000000000001,0.4575,0.4625,b
1123,1,0.73,0.55,0.205,1.9080000000000001,0.5415,0.3565,0.5965,b
1124,3,0.23,0.17,0.05,0.057,0.026000000000000002,0.013000000000000001,0.016,b
1125,3,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,b
1126,3,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,b
1127,3,0.3,0.22,0.065,0.1235,0.059000000000000004,0.026000000000000002,0.0315,b
1128,3,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,b
1129,3,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,b
1130,3,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01,b
1131,3,0.215,0.165,0.055,0.059000000000000004,0.0265,0.0125,0.0185,b
1132,2,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,b
1133,2,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,b
1134,1,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,b
1135,1,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,b
1136,1,0.34,0.255,0.085,0.204,0.09699999999999999,0.021,0.05,b
1137,1,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,b
1138,2,0.64,0.49,0.14,1.194,0.4445,0.23800000000000002,0.375,b
1139,1,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,b
1140,2,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,b
1141,2,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31,b
1142,1,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,b
1143,2,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,b
1144,2,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,b
1145,1,0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165,b
1146,1,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195,b
1147,1,0.67,0.545,0.175,1.7069999999999999,0.6995,0.387,0.575,b
1148,1,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,b
1149,3,0.2,0.145,0.025,0.0345,0.011000000000000001,0.0075,0.01,b
1150,2,0.65,0.515,0.18,1.3315,0.5665,0.34700000000000003,0.405,b
1151,1,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,b
1152,1,0.61,0.47,0.16,1.0170000000000001,0.426,0.2255,0.32,b
1153,3,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,b
1154,1,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,b
1155,1,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,b
1156,3,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,b
1157,3,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,b
1158,2,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,b
1159,1,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,b
1160,1,0.555,0.42,0.14,0.868,0.33,0.243,0.21,b
1161,1,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,b
1162,1,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,b
1163,1,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,b
1164,1,0.64,0.505,0.19,1.2765,0.4835,0.32799999999999996,0.4,b
1165,2,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,b
1166,2,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,b
1167,1,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,b
1168,1,0.59,0.485,0.205,1.2315,0.4525,0.23800000000000002,0.42,b
1169,2,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,b
1170,2,0.695,0.53,0.15,1.4769999999999999,0.6375,0.3025,0.43,b
1171,1,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,b
1172,2,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,b
1173,2,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,b
1174,2,0.635,0.48,0.19,1.4669999999999999,0.5825,0.303,0.42,b
1175,1,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,b
1176,1,0.695,0.55,0.16,1.6365,0.6940000000000001,0.3005,0.44,b
1177,2,0.55,0.435,0.16,0.9059999999999999,0.342,0.21899999999999997,0.295,b
1178,1,0.61,0.495,0.19,1.213,0.46399999999999997,0.306,0.365,b
1179,2,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,b
1180,2,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,b
1181,3,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,b
1182,3,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,b
1183,1,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,b
1184,1,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,b
1185,1,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,b
1186,1,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,b
1187,1,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,b
1188,2,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,b
1189,1,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,b
1190,1,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,b
1191,1,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,b
1192,2,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13,b
1193,2,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,b
1194,1,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,b
1195,2,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,b
1196,1,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,b
1197,1,0.665,0.57,0.185,1.5219999999999998,0.6965,0.3025,0.405,b
1198,1,0.62,0.51,0.175,1.1255,0.4985,0.22699999999999998,0.315,b
1199,2,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,b
1200,1,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,b
1201,2,0.535,0.42,0.16,0.72,0.275,0.16399999999999998,0.225,b
1202,1,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,b
1203,2,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,b
1204,1,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,b
1205,2,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,b
1206,1,0.605,0.485,0.165,1.0735,0.43700000000000006,0.205,0.33,b
1207,1,0.62,0.5,0.175,1.146,0.47700000000000004,0.23,0.39,b
1208,1,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,b
1209,1,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,b
1210,2,0.275,0.2,0.08,0.099,0.037000000000000005,0.024,0.03,b
1211,1,0.62,0.485,0.165,1.166,0.483,0.23800000000000002,0.355,b
1212,1,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,b
1213,1,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,b
1214,1,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,b
1215,3,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,b
1216,3,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,b
1217,3,0.575,0.475,0.17,0.9670000000000001,0.3775,0.284,0.275,b
1218,3,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2,b
1219,3,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,b
1220,1,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,b
1221,3,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,b
1222,1,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,b
1223,1,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,b
1224,2,0.43,0.33,0.095,0.34,0.1315,0.085,0.11199999999999999,b
1225,1,0.455,0.365,0.11,0.385,0.166,0.046,0.1345,b
1226,3,0.495,0.38,0.145,0.515,0.175,0.098,0.212,b
1227,1,0.48,0.38,0.145,0.59,0.23199999999999998,0.141,0.23,b
1228,3,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,b
1229,3,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165,b
1230,1,0.51,0.38,0.13,0.584,0.22399999999999998,0.1355,0.185,b
1231,1,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205,b
1232,3,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085,b
1233,2,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,b
1234,2,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,b
1235,3,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,b
1236,2,0.455,0.345,0.125,0.44,0.16899999999999998,0.1065,0.135,b
1237,3,0.31,0.235,0.09,0.127,0.048,0.031,0.04,b
1238,3,0.255,0.19,0.07,0.0815,0.027999999999999997,0.016,0.031,b
1239,3,0.19,0.13,0.045,0.0265,0.009000000000000001,0.005,0.009000000000000001,b
1240,2,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,b
1241,2,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,b
1242,1,0.475,0.35,0.115,0.48700000000000004,0.19399999999999998,0.1455,0.125,b
1243,2,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,b
1244,2,0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335,b
1245,2,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,b
1246,2,0.62,0.48,0.16,1.0765,0.41200000000000003,0.253,0.3,b
1247,1,0.605,0.45,0.165,1.2225,0.35700000000000004,0.20199999999999999,0.385,b
1248,1,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945,b
1249,2,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,b
1250,3,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,b
1251,3,0.415,0.31,0.105,0.3595,0.16699999999999998,0.083,0.0915,b
1252,2,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,b
1253,2,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,b
1254,3,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,b
1255,3,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,b
1256,3,0.35,0.265,0.095,0.19899999999999998,0.073,0.049,0.06,b
1257,3,0.36,0.27,0.09,0.21899999999999997,0.09699999999999999,0.0405,0.065,b
1258,3,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,b
1259,3,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,b
1260,3,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,b
1261,3,0.43,0.335,0.105,0.37799999999999995,0.188,0.0785,0.09,b
1262,1,0.61,0.48,0.16,1.234,0.598,0.23800000000000002,0.315,b
1263,3,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,b
1264,3,0.4,0.315,0.085,0.2675,0.11599999999999999,0.0585,0.0765,b
1265,3,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,b
1266,3,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,b
1267,2,0.6,0.475,0.16,1.1640000000000001,0.5045,0.2635,0.335,b
1268,1,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,b
1269,3,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,b
1270,3,0.33,0.23,0.085,0.1695,0.079,0.026000000000000002,0.0505,b
1271,3,0.335,0.26,0.085,0.192,0.09699999999999999,0.03,0.054000000000000006,b
1272,3,0.35,0.265,0.085,0.1735,0.0775,0.034,0.055999999999999994,b
1273,3,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054000000000000006,b
1274,3,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,b
1275,3,0.4,0.315,0.09,0.33,0.151,0.068,0.08,b
1276,3,0.43,0.325,0.105,0.309,0.11900000000000001,0.08,0.098,b
1277,2,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,b
1278,1,0.66,0.5,0.155,1.3765,0.6485,0.28800000000000003,0.335,b
1279,2,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,b
1280,2,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,b
1281,3,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,b
1282,2,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,b
1283,1,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,b
1284,1,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,b
1285,3,0.27,0.205,0.05,0.084,0.03,0.0185,0.028999999999999998,b
1286,3,0.295,0.22,0.085,0.1285,0.0585,0.027000000000000003,0.0365,b
1287,3,0.3,0.225,0.075,0.1345,0.057,0.027999999999999997,0.044000000000000004,b
1288,3,0.3,0.22,0.065,0.1195,0.052000000000000005,0.0155,0.035,b
1289,3,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,b
1290,3,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,b
1291,3,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,b
1292,1,0.595,0.45,0.165,1.081,0.49,0.2525,0.27899999999999997,b
1293,1,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,b
1294,2,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,b
1295,2,0.645,0.51,0.19,1.4865,0.6445,0.29600000000000004,0.425,b
1296,2,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,b
1297,2,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,b
1298,3,0.235,0.13,0.075,0.1585,0.0685,0.037000000000000005,0.0465,b
1299,1,0.67,0.525,0.195,1.37,0.6065,0.2955,0.40700000000000003,b
1300,1,0.695,0.525,0.205,1.8185,0.8190000000000001,0.4025,0.4525,b
1301,1,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,b
1302,3,0.275,0.205,0.065,0.10099999999999999,0.040999999999999995,0.021,0.034,b
1303,3,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,b
1304,3,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,b
1305,3,0.4,0.315,0.1,0.3225,0.14300000000000002,0.0735,0.091,b
1306,1,0.585,0.42,0.155,0.9845,0.442,0.2155,0.2875,b
1307,3,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,b
1308,2,0.63,0.49,0.16,1.09,0.40700000000000003,0.22399999999999998,0.354,b
1309,1,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,b
1310,1,0.665,0.525,0.18,1.5785,0.6779999999999999,0.22899999999999998,0.456,b
1311,2,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,b
1312,2,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,b
1313,2,0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,b
1314,3,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,b
1315,1,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,b
1316,3,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,b
1317,1,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,b
1318,2,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,b
1319,1,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,b
1320,2,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,b
1321,2,0.57,0.45,0.155,0.91,0.326,0.1895,0.355,b
1322,3,0.37,0.275,0.085,0.2045,0.096,0.055999999999999994,0.08,b
1323,1,0.675,0.535,0.22,1.604,0.6175,0.4255,0.45299999999999996,b
1324,2,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,b
1325,2,0.55,0.41,0.15,0.785,0.282,0.18600000000000003,0.275,b
1326,1,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,b
1327,1,0.55,0.465,0.15,1.082,0.3575,0.19399999999999998,0.19,b
1328,1,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,b
1329,3,0.32,0.235,0.065,0.1385,0.057999999999999996,0.0225,0.05,b
1330,1,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,b
1331,2,0.545,0.44,0.165,0.7440000000000001,0.2875,0.204,0.25,b
1332,1,0.45,0.36,0.11,0.447,0.203,0.08199999999999999,0.13,b
1333,3,0.33,0.25,0.075,0.1405,0.055999999999999994,0.035,0.05,b
1334,1,0.525,0.41,0.15,0.708,0.27399999999999997,0.151,0.25,b
1335,1,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,b
1336,1,0.61,0.49,0.17,1.1775,0.5655,0.2385,0.295,b
1337,1,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,b
1338,1,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,b
1339,2,0.62,0.5,0.2,1.2209999999999999,0.4605,0.263,0.43,b
1340,1,0.56,0.46,0.18,0.97,0.342,0.196,0.355,b
1341,1,0.5,0.4,0.15,0.8085,0.273,0.11199999999999999,0.295,b
1342,2,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,b
1343,1,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,b
1344,2,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,b
1345,2,0.445,0.345,0.14,0.47600000000000003,0.2055,0.1015,0.1085,b
1346,1,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,b
1347,2,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,b
1348,3,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,b
1349,2,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,b
1350,3,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,b
1351,3,0.615,0.46,0.19,1.0659999999999998,0.4335,0.226,0.33,b
1352,2,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,b
1353,3,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,b
1354,3,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,b
